year,month,avg_temp
2005,11,22.8
2005,12,17.2
2006,1,18.1
2006,2,17.9
2006,3,18.4
2006,4,21.2
2006,5,24.8
2006,6,26.8
2006,7,29.1
2006,8,29.2
2006,9,27.8
2006,10,26.1
2006,11,22.9
2006,12,19.7
2007,1,17.8
2007,2,18.2
2007,3,19.6
2007,4,20.7
2007,5,23.8
2007,6,26.7
2007,7,29.6
2007,8,28.8
2007,9,28.2
2007,10,26.6
2007,11,22.2
2007,12,19.9
2008,1,18.5
2008,2,16.1
2008,3,18.7
2008,4,21.4
2008,5,24.1
2008,6,27.6
2008,7,29.4
2008,8,29.0
2008,9,28.2
2008,10,26.4
2008,11,22.5
2008,12,18.7
2009,1,16.7
2009,2,19.9
2009,3,19.6
2009,4,20.5
2009,5,23.7
2009,6,26.4
2009,7,29.2
2009,8,29.5
2009,9,29.0
2009,10,25.3
2009,11,22.7
2009,12,18.3
2010,1,16.8
2010,2,18.3
2010,3,19.9
2010,4,21.2
2010,5,23.8
2010,6,26.7
2010,7,28.7
2010,8,28.9
2010,9,28.0
2010,10,25.7
2010,11,21.4
2010,12,18.1
2011,1,14.9
2011,2,17.6
2011,3,
2011,4,20.4
2011,5,23.9
2011,6,27.9
2011,7,28.9
2011,8,28.3
2011,9,27.9
2011,10,25.2
2011,11,23.7
2011,12,18.6
2012,1,17.0
2012,2,17.5
2012,3,19.6
2012,4,21.7
2012,5,24.4
2012,6,26.9
2012,7,29.1
2012,8,28.5
2012,9,27.2
2012,10,24.6
2012,11,21.0
2012,12,18.5
2013,1,17.0
2013,2,18.6
2013,3,20.4
2013,4,20.6
2013,5,23.7
2013,6,27.9
2013,7,29.4
2013,8,29.6
2013,9,28.3
2013,10,25.3
2013,11,21.3
2013,12,17.3
2014,1,16.8
2014,2,17.9
2014,3,18.4
2014,4,20.9
2014,5,23.6
2014,6,26.9
2014,7,29.3
2014,8,28.7
2014,9,28.8
2014,10,25.4
2014,11,22.6
2014,12,17.6
2015,1,16.6
2015,2,16.8
2015,3,19.0
2015,4,22.2
2015,5,24.9
2015,6,28.7
2015,7,29.0
2015,8,28.7
2015,9,27.8
2015,10,25.5
2015,11,23.8
2015,12,20.1
2016,1,17.4
2016,2,16.9
2016,3,18.7
2016,4,23.0
2016,5,25.7
2016,6,28.4
2016,7,29.8
2016,8,29.5
2016,9,28.4
2016,10,27.7
2016,11,23.2
2016,12,20.5
2017,1,18.4
2017,2,17.1
2017,3,18.3
2017,4,21.6
2017,5,24.2
2017,6,26.6
2017,7,29.9
2017,8,30.4
2017,9,28.9
2017,10,27.0
2017,11,22.8
2017,12,18.0
2018,1,17.2
2018,2,16.9
2018,3,19.9
2018,4,21.6
2018,5,25.6
2018,6,27.8
2018,7,28.3
2018,8,28.5
2018,9,28.4
2018,10,23.9
2018,11,23.1
2018,12,20.4
2019,1,18.1
2019,2,20.0
2019,3,19.9
2019,4,22.3
2019,5,24.2
2019,6,26.5
2019,7,28.9
2019,8,29.2
2019,9,28.0
2019,10,26.0
2019,11,23.1
2019,12,20.0
2020,1,18.7
2020,2,18.7
2020,3,20.1
2020,4,19.8
2020,5,24.8
2020,6,28.1
2020,7,29.3
2020,8,29.4
2020,9,27.7
2020,10,25.8
2020,11,23.4
2020,12,19.2
2021,1,16.8
2021,2,18.5
2021,3,20.8
2021,4,21.7
2021,5,25.8
2021,6,27.1
2021,7,28.8
2021,8,28.7
2021,9,28.8
2021,10,26.0
2021,11,21.8
2021,12,18.9
2022,1,17.7
2022,2,17.2
2022,3,20.4
2022,4,22.7
2022,5,23.5
2022,6,27.0
2022,7,29.4
2022,8,29.9
2022,9,28.3
2022,10,26.0
2022,11,23.6
2022,12,18.6
2023,1,17.5
2023,2,19.0
2023,3,20.0
2023,4,22.5
2023,5,24.3
2023,6,27.2
2023,7,29.6
2023,8,28.6
2023,9,
2023,10,26.0
2023,11,22.6
2023,12,19.7
